dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0174289,-0.134762,0,-0.000286825,0.000460597,0.000603052,2.37671e-05,-0.00111588,7.18874e-05,0.000976738,0.000924429
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0174184,-0.135028,0,-0.000286825,0.000460597,0.000557853,2.19813e-05,-0.00105187,6.40096e-05,0,4.51989e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.017408,-0.135291,0,-0.000286825,0.000460597,0.000513259,2.02185e-05,-0.000995158,5.67148e-05,0,4.45936e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173991,-0.135517,0,-0.000286825,0.000460597,0.000474798,1.86982e-05,-0.000944764,5.03943e-05,0,3.84618e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173908,-0.135727,0,-0.000286825,0.000460597,0.000439221,1.72916e-05,-0.000900036,4.47277e-05,0,3.55765e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173831,-0.13592,0,-0.000286825,0.000460597,0.00040631,1.59908e-05,-0.000860383,3.96527e-05,0,3.29111e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173756,-0.136111,0,-0.000286825,0.000460597,0.000373838,1.47074e-05,-0.000825428,3.4955e-05,0,3.24715e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173686,-0.136287,0,-0.000286825,0.000460597,0.000343964,1.3527e-05,-0.000794651,3.07771e-05,0,2.9875e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173626,-0.136439,0,-0.000286825,0.000460597,0.000318196,1.25086e-05,-0.00076745,2.72009e-05,0,2.57678e-05
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173567,-0.136589,0,-0.000286825,0.000460597,0.000292772,1.15039e-05,-0.000743559,2.38917e-05,0,2.54232e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0173516,-0.136285,0,-0.00126596,0.000460597,-0.000634855,1.06371e-05,-0.000793079,4.95203e-05,0.000979131,0.000927627
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0173466,-0.135986,0,-0.00126596,0.000460597,-0.000584032,9.78238e-06,-0.000834664,4.15855e-05,0,5.08223e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0173422,-0.135728,0,-0.00126596,0.000460597,-0.000540202,9.04477e-06,-0.000869413,3.47487e-05,0,4.38299e-05
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.0173384,-0.135923,0,-0.000284432,0.000460255,0.000408188,8.08877e-06,-0.000827349,4.20641e-05,0.000981525,0.00094839
0.015,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.0169025,-0.136103,0,-0.000284432,0.00143939,0.000377607,0.000913179,-0.000790044,3.73045e-05,0,3.05809e-05
0.016,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.0164725,-0.136281,0,-0.000284432,0.00143939,0.000347432,0.000840123,-0.000757146,3.2898e-05,0,3.01749e-05
0.016,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.0160772,-0.136444,0,-0.000284432,0.00143939,0.000319676,0.000772976,-0.000728169,2.89773e-05,0,2.77553e-05
0.015,-0.0234992,0.00195827,0,-0.01,-0.02,-0.14,0,-0.0157362,-0.136734,0,-0.000286825,0.00143973,0.000268098,0.000715316,-0.000704702,2.34669e-05,2.3935e-06,5.15785e-05
