dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_imu,dax_n_cal,
0.015,-0.0264366,0.00195827,0.01,0,-0.01,-0.15,0,-0.00833351,-0.150078,0,0.000954129,-0.000259439,0.000940926,-0.000542547,-0.000755685,0,-7.6253E-05,6.923E-05
0.015,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00842341,-0.150061,0,-2.50004E-05,-0.000259439,-3.53027E-05,-0.000527274,-0.000766792,-0.000979129,-0.000976229,1.1107E-05
0.015,-0.0254575,0.00195827,0.01,-0.01,-0.01,-0.15,0,-0.00850657,-0.150195,0,-2.50004E-05,-0.000259439,-5.80996E-05,-0.000513147,-0.000778274,0,-2.27969E-05,1.14819999999999E-05
0.015,-0.0254575,0.00195827,0.01,-0.01,-0.01,-0.15,0,-0.00858349,-0.150319,0,-2.50004E-05,-0.000259439,-7.91866E-05,-0.00050008,-0.000789978,0,-2.1087E-05,1.17040000000001E-05
0.016,-0.0254575,0.00195827,0.01,-0.01,-0.01,-0.15,0,-0.00865939,-0.150441,0,-2.50004E-05,-0.000259439,-9.99905E-05,-0.000487186,-0.000801871,0,-2.08039E-05,1.18929999999999E-05
0.015,-0.0254575,0.000979134,0.01,-0.01,-0.01,-0.15,0,-0.00829259,-0.150547,0,-2.50004E-05,0.000719695,-0.000117935,0.000429636,-0.000813724,0,-1.79447E-05,1.1853E-05
0.016,-0.0254575,0.000979134,0,-0.01,-0.01,-0.15,0,-0.00809069,-0.150651,0,-2.50004E-05,0.000719695,-0.000135642,0.000395336,-0.000825526,0,-1.77063E-05,1.1802E-05
0.015,-0.0254575,0.00195827,0,-0.01,-0.01,-0.15,0,-0.00834841,-0.150741,0,-2.50004E-05,-0.000259439,-0.000150917,-0.000540017,-0.000837096,0,-1.52756E-05,1.157E-05
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.0085868,-0.150674,0,-2.50004E-05,-0.000259439,-0.000139568,-0.000499518,-0.000846382,0,1.13491E-05,9.28599999999995E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00880731,-0.150613,0,-2.50004E-05,-0.000259439,-0.000129065,-0.000462058,-0.000853614,0,1.05035E-05,7.23200000000003E-06
