行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
1,0.300801,0.306034,0.571798,0.566523,0.618346,0.56842,0.0151446,0.616883
1,0.299285,0.306357,0.571798,0.571121,0.623073,0.56842,0.0151446,0.62163
1,0.29983,0.306774,0.588854,0.575726,0.627807,0.585457,0.0161584,0.626382
1,0.30047,0.307297,0.588854,0.580339,0.632551,0.585457,0.0161584,0.63114
1,0.300499,0.307955,0.588854,0.585272,0.637612,0.585457,0.0161584,0.636214
1,0.299678,0.308649,0.588854,0.589907,0.642344,0.585457,0.0161584,0.640986
1,0.299018,0.309369,0.604671,0.594862,0.647381,0.601285,0.0158837,0.646074
1,0.300347,0.310016,0.604671,0.599517,0.652124,0.601285,0.0158837,0.650857
1,0.299851,0.310701,0.604671,0.604494,0.657174,0.601285,0.0158837,0.655956
1,0.299811,0.311297,0.604671,0.609168,0.661908,0.601285,0.0158837,0.660748
1,0.298987,0.311788,0.622723,0.613848,0.66663,0.61936,0.015055,0.665539
1,0.301205,0.312208,0.622723,0.618847,0.671702,0.61936,0.015055,0.670646
1,0.299928,0.312515,0.622723,0.623537,0.676438,0.61936,0.015055,0.675438
1,0.29941,0.312728,0.622723,0.628542,0.681481,0.61936,0.015055,0.680541
1,0.299186,0.312786,0.639077,0.633548,0.686521,0.635699,0.0159017,0.685638
1,0.30095,0.3127,0.639077,0.638237,0.691272,0.635699,0.0159017,0.690419
1,0.300358,0.312495,0.639077,0.642923,0.696015,0.635699,0.0159017,0.695193
1,0.298679,0.31214,0.657249,0.647915,0.701046,0.653862,0.0165205,0.700269
1,0.300507,0.311612,0.657249,0.652896,0.706107,0.653862,0.0165205,0.705335
1,0.301357,0.310972,0.657249,0.657867,0.711182,0.653862,0.0165205,0.710394
1,0.300101,0.310286,0.657249,0.662516,0.71592,0.653862,0.0165205,0.715131
1,0.299802,0.309591,0.676494,0.667464,0.72097,0.673095,0.0172699,0.720169
1,0.299459,0.309019,0.676494,0.672095,0.725699,0.673095,0.0172699,0.724889
1,0.301287,0.308661,0.676494,0.676722,0.730455,0.673095,0.0172699,0.729608
1,0.300287,0.308504,0.696638,0.681657,0.735513,0.69325,0.016987,0.734636
1,0.299692,0.3086,0.696638,0.686287,0.740245,0.69325,0.016987,0.739358
1,0.29917,0.308829,0.696638,0.690921,0.744969,0.69325,0.016987,0.744084
1,0.299841,0.309165,0.696638,0.695561,0.749704,0.69325,0.016987,0.748815
1,0.300498,0.309636,0.714233,0.700519,0.754765,0.710824,0.0181767,0.753864
1,0.29951,0.31017,0.714233,0.705486,0.75981,0.710824,0.0181767,0.75892
1,0.299791,0.310585,0.714233,0.710147,0.764544,0.710824,0.0181767,0.763671
1,0.299402,0.310824,0.714233,0.715123,0.769587,0.710824,0.0181767,0.768734
1,0.300765,0.31084,0.730914,0.719785,0.774335,0.727482,0.0193464,0.773485
1,0.300099,0.310565,0.730914,0.724442,0.779074,0.727482,0.0193464,0.778232
1,0.299618,0.31001,0.730914,0.729397,0.784121,0.727482,0.0193464,0.783281
1,0.299857,0.309335,0.730914,0.734032,0.788855,0.727482,0.0193464,0.78801
1,0.301309,0.308605,0.748116,0.738964,0.793929,0.744687,0.0194114,0.793041
1,0.300361,0.308182,0.748116,0.743892,0.798988,0.744687,0.0194114,0.798068
1,0.30014,0.308067,0.748116,0.748512,0.803727,0.744687,0.0194114,0.802788
1,0.299641,0.308309,0.76677,0.753447,0.808774,0.763375,0.0180739,0.807821
1,0.30096,0.308848,0.76677,0.758393,0.813842,0.763375,0.0180739,0.812865
1,0.299471,0.309442,0.76677,0.763039,0.818571,0.763375,0.0180739,0.817608
1,0.299355,0.310095,0.76677,0.768005,0.823614,0.763375,0.0180739,0.822669
1,0.299387,0.310701,0.785197,0.772981,0.828657,0.781783,0.0191436,0.827737
1,0.301498,0.311217,0.785197,0.777654,0.833416,0.781783,0.0191436,0.832501
1,0.300145,0.31174,0.785197,0.782334,0.838155,0.781783,0.0191436,0.837271
1,0.298721,0.312274,0.785197,0.787334,0.843188,0.781783,0.0191436,0.842354
1,0.299841,0.312699,0.800822,0.792028,0.847922,0.797388,0.0202395,0.847128
1,0.301664,0.313004,0.800822,0.797038,0.853002,0.797388,0.0202395,0.852219
1,0.300112,0.313139,0.800822,0.80205,0.858056,0.797388,0.0202395,0.857308
1,0.299167,0.313077,0.817692,0.807059,0.863096,0.814249,0.0208129,0.862391
1,0.300334,0.312786,0.817692,0.811748,0.867838,0.814249,0.0208129,0.867155
1,0.30141,0.312199,0.817692,0.816739,0.872913,0.814249,0.0208129,0.872222
1,0.301255,0.311475,0.817692,0.821716,0.877986,0.814249,0.0208129,0.87728
1,0.299105,0.31072,0.837432,0.826682,0.883025,0.833973,0.0217139,0.882325
1,0.298932,0.310027,0.837432,0.831327,0.887746,0.833973,0.0217139,0.887049
1,0.300994,0.309395,0.837432,0.835963,0.892497,0.833973,0.0217139,0.891767
1,0.301284,0.308908,0.855337,0.840593,0.897254,0.851872,0.0221908,0.896481
1,0.299163,0.308557,0.855337,0.845527,0.902293,0.851872,0.0221908,0.901502
1,0.299034,0.30836,0.855337,0.850151,0.907016,0.851872,0.0221908,0.906211
1,0.299254,0.308265,0.855337,0.854774,0.911741,0.851872,0.0221908,0.910922
1,0.301538,0.308292,0.873558,0.859399,0.916502,0.87011,0.021659,0.915637
1,0.299044,0.308405,0.873558,0.864334,0.921539,0.87011,0.021659,0.920663
1,0.299848,0.308558,0.873558,0.868964,0.926274,0.87011,0.021659,0.925385
1,0.299134,0.308763,0.873558,0.873597,0.930998,0.87011,0.021659,0.93011
1,0.300577,0.309061,0.891459,0.878544,0.93606,0.888009,0.0219748,0.935151
1,0.301054,0.309428,0.891459,0.883498,0.94113,0.888009,0.0219748,0.940199
1,0.299043,0.309861,0.891459,0.888149,0.945852,0.888009,0.0219748,0.944943
1,0.30011,0.310352,0.909891,0.892808,0.950591,0.906417,0.0232482,0.949692
1,0.300564,0.310912,0.909891,0.897787,0.955653,0.906417,0.0232482,0.954761
1,0.299795,0.311467,0.909891,0.902463,0.960387,0.906417,0.0232482,0.959523
1,0.300087,0.312031,0.909891,0.90746,0.965441,0.906417,0.0232482,0.964604
1,0.298713,0.312438,0.925717,0.912463,0.970473,0.92222,0.0243629,0.969686
1,0.301351,0.312661,0.925717,0.917154,0.97523,0.92222,0.0243629,0.974457
1,0.300188,0.31271,0.925717,0.922158,0.980286,0.92222,0.0243629,0.979539
1,0.299254,0.31259,0.925717,0.927159,0.985327,0.92222,0.0243629,0.984615
1,0.299155,0.312418,0.943239,0.931844,0.990051,0.939735,0.0248834,0.989373
1,0.301389,0.312306,0.943239,0.936527,0.994809,0.939735,0.0248834,0.994129
1,0.300987,0.312326,0.943239,0.941212,0.999561,0.939735,0.0248834,0.998885
1,0.2987,0.312598,0.943239,0.945903,1.00428,0.939735,0.0248834,1.00364
1,0.299587,0.313102,0.959798,0.950917,1.00932,0.956293,0.0251329,1.00871
1,0.300963,0.313736,0.959798,0.955628,1.01408,0.956293,0.0251329,1.01348
1,0.300508,0.314457,0.959798,0.960665,1.01914,0.956293,0.0251329,1.01857
1,0.29963,0.31518,0.976753,0.965714,1.02418,0.973238,0.0257424,1.02367
1,0.299843,0.315769,0.976753,0.970455,1.02892,0.973238,0.0257424,1.02846
1,0.301167,0.316223,0.976753,0.975518,1.03399,0.973238,0.0257424,1.03356
1,0.299663,0.316548,0.976753,0.980585,1.03904,0.973238,0.0257424,1.03866
1,0.299718,0.316822,0.995727,0.98534,1.04377,0.992201,0.0264188,1.04345
1,0.299017,0.317108,0.995727,0.990098,1.04849,0.992201,0.0264188,1.04823
1,0.300703,0.317445,0.995727,0.99518,1.05356,0.992201,0.0264188,1.05334
1,0.300895,0.317807,0.995727,0.99995,1.05831,0.992201,0.0264188,1.05812
1,0.299535,0.318204,1.0153,1.00473,1.06304,1.01176,0.0272011,1.06291
1,0.299864,0.318712,1.0153,1.00983,1.06809,1.01176,0.0272011,1.06802
1,0.299224,0.319206,1.0153,1.01462,1.07281,1.01176,0.0272011,1.0728
1,0.300846,0.319668,1.03302,1.01942,1.07756,1.02949,0.0269112,1.0776
1,0.299645,0.320096,1.03302,1.02454,1.08261,1.02949,0.0269112,1.08271
1,0.299127,0.320347,1.03302,1.02935,1.08733,1.02949,0.0269112,1.0875
1,0.299263,0.320423,1.03302,1.03448,1.09237,1.02949,0.0269112,1.0926
1,0.300746,0.320276,1.05072,1.03928,1.09712,1.04721,0.026537,1.09738
1,0.30024,0.319933,1.05072,1.0444,1.10218,1.04721,0.026537,1.10247
1,0.299821,0.319483,1.05072,1.04919,1.10691,1.04721,0.026537,1.10722
1,0.299261,0.318945,1.05072,1.05429,1.11195,1.04721,0.026537,1.11229
1,0.30089,0.318449,1.06892,1.05906,1.1167,1.0654,0.027358,1.11703
1,0.299852,0.318048,1.06892,1.06414,1.12176,1.0654,0.027358,1.12209
1,0.300322,0.317912,1.06892,1.06891,1.1265,1.0654,0.027358,1.12682
1,0.299571,0.318024,1.08677,1.074,1.13154,1.08323,0.0282917,1.13188
1,0.300948,0.318409,1.08677,1.07878,1.13629,1.08323,0.0282917,1.13662
1,0.299686,0.319071,1.08677,1.08357,1.14103,1.08323,0.0282917,1.14137
1,0.299271,0.319964,1.08677,1.0887,1.14607,1.08323,0.0282917,1.14645
1,0.299267,0.320814,1.10446,1.09352,1.15079,1.10088,0.0299359,1.15122
1,0.300939,0.321606,1.10446,1.09867,1.15586,1.10088,0.0299359,1.15631
1,0.300802,0.322153,1.10446,1.10383,1.16093,1.10088,0.0299359,1.16142
1,0.299053,0.322382,1.10446,1.10867,1.16565,1.10088,0.0299359,1.1662
1,0.299567,0.322309,1.12216,1.11382,1.1707,1.11857,0.0301771,1.17129
1,0.301029,0.321934,1.12216,1.11865,1.17545,1.11857,0.0301771,1.17605
1,0.300554,0.32133,1.12216,1.12378,1.18051,1.11857,0.0301771,1.18113
1,0.299946,0.320607,1.1406,1.12891,1.18556,1.13704,0.0295393,1.18619
1,0.299531,0.31989,1.1406,1.1337,1.19029,1.13704,0.0295393,1.19093
1,0.30055,0.319266,1.1406,1.13849,1.19504,1.13704,0.0295393,1.19565
1,0.301398,0.31879,1.1406,1.14358,1.20011,1.13704,0.0295393,1.20069
1,0.299462,0.318536,1.15916,1.14836,1.20484,1.15558,0.0306358,1.20541
1,0.299747,0.318451,1.15916,1.15345,1.20989,1.15558,0.0306358,1.21045
1,0.300414,0.318485,1.15916,1.15823,1.21463,1.15558,0.0306358,1.21517
1,0.300892,0.318591,1.15916,1.16333,1.2197,1.15558,0.0306358,1.22021
1,0.298746,0.318776,1.15916,1.16811,1.22442,1.15558,0.0306358,1.22494
1,0.299951,0.319001,1.17674,1.1729,1.22915,1.17313,0.0318925,1.22967
1,0.299284,0.319285,1.17674,1.17801,1.2342,1.17313,0.0318925,1.23472
1,0.300526,0.319604,1.17674,1.18281,1.23894,1.17313,0.0318925,1.23946
1,0.299638,0.319958,1.17674,1.18793,1.24399,1.17313,0.0318925,1.24452
1,0.299343,0.320229,1.19409,1.19273,1.24872,1.19048,0.032164,1.24927
1,0.300242,0.320454,1.19409,1.19754,1.25346,1.19048,0.032164,1.25402
1,0.30106,0.320667,1.19409,1.20267,1.25853,1.19048,0.032164,1.25909
1,0.299255,0.320886,1.2114,1.20749,1.26325,1.20781,0.0316132,1.26384
1,0.298549,0.321177,1.2114,1.21263,1.26828,1.20781,0.0316132,1.26891
1,0.299912,0.321478,1.2114,1.21778,1.27333,1.20781,0.0316132,1.27399
1,0.301241,0.321791,1.2114,1.22293,1.2784,1.20781,0.0316132,1.27907
1,0.299389,0.322075,1.23021,1.22776,1.28313,1.22664,0.030816,1.28382
1,0.299428,0.322132,1.23021,1.23259,1.28786,1.22664,0.030816,1.28858
